Account ID,Username,Platform,Follower Count,Posts Per Week,Engagement Rate,Ad Spend (USD),Conversion Rate,Campaign Reach
58.0,julianfisher,Facebook,224019.0,7.0,0.0642,519.52,0.0115,15713.0
59.0,kstewart,TikTok,589034.0,5.0,0.102,516.15,0.0143,
60.0,jaimeedwards,Instagram,521857.0,6.0,0.102,902.41,0.0328,46702.0
61.0,ashleycooper,Instagram,647277.0,1.0,0.0834,396.53,0.0192,3354.0
62.0,tristanpearson,Twitter,625432.0,3.0,0.0856,514.6,0.0397,5100.0
,oprice,Twitter,417945.0,,0.0986,383.32,0.0358,26750.0
64.0,mhart,LinkedIn,81376.0,5.0,0.0856,649.02,0.0113,2427.0
65.0,smurray,Facebook,163109.0,5.0,0.0986,841.85,0.0112,48337.0
66.0,riverakevin,Instagram,193830.0,1.0,0.0986,488.49,0.0395,25114.0
67.0,julianfisher,Instagram,174959.0,1.0,0.0642,139.63,0.0328,35257.0
68.0,lisa32,Facebook,20239.0,5.0,0.0642,630.77,0.0154,17113.0
69.0,timothynavarro,Twitter,973806.0,4.0,0.0834,973.57,0.012,16840.0
70.0,lori07,TikTok,906762.0,6.0,0.0642,233.99,0.0189,48861.0
71.0,,Instagram,54991.0,1.0,0.0642,379.97,0.0297,5513.0
72.0,toneill,,644118.0,7.0,0.0642,382.74,0.0307,9407.0
,allen72,LinkedIn,595994.0,6.0,0.102,933.92,0.0381,42791.0
74.0,kathymacias,Instagram,107881.0,,0.0856,888.13,0.0286,
75.0,james60,Instagram,493602.0,2.0,0.0856,276.36,0.0283,6020.0
76.0,nolancorey,Facebook,210960.0,4.0,0.0642,81.51,0.0293,28986.0
77.0,carlosrivera,Facebook,13228.0,7.0,0.0986,,0.046,42386.0
78.0,,Instagram,410903.0,6.0,0.0856,457.25,0.0385,21955.0
79.0,ashley37,Instagram,677499.0,5.0,0.0642,651.28,0.0464,35055.0
80.0,kevin80,,685323.0,3.0,0.0986,913.44,0.0275,7410.0
81.0,jilliannielsen,Instagram,753260.0,2.0,0.0856,277.98,0.0334,6331.0
82.0,shermanjoshua,Facebook,199035.0,6.0,0.0986,703.39,0.045,45607.0
83.0,vdavila,Instagram,915675.0,5.0,0.0986,882.09,0.0342,
84.0,leemorales,Instagram,,7.0,0.0834,966.01,0.0493,26025.0
85.0,jonathanjones,,122372.0,7.0,0.0642,894.32,0.0201,25945.0
86.0,anthonyanderson,LinkedIn,577623.0,4.0,0.0986,190.5,0.0139,5919.0
87.0,holmesjohn,LinkedIn,6876.0,1.0,0.0856,522.77,,2242.0
88.0,bobbystrickland,LinkedIn,944581.0,3.0,0.0856,283.03,0.0315,16888.0
89.0,jeffrey25,LinkedIn,567055.0,1.0,0.0642,117.05,0.0365,23557.0
90.0,cynthia04,Facebook,469429.0,1.0,0.0834,903.99,0.0106,44375.0
91.0,thomassherri,LinkedIn,760780.0,,0.0834,540.02,0.0215,43906.0
92.0,eryan,Instagram,531919.0,6.0,0.0986,177.32,0.0361,21099.0
93.0,shanejohnson,Twitter,,4.0,0.0856,307.41,0.0145,3830.0
94.0,benjamingutierrez,Instagram,859655.0,3.0,0.0642,222.59,0.0208,14641.0
95.0,marquezedward,Twitter,487293.0,1.0,0.102,852.45,0.031,32055.0
96.0,tjohnson,Twitter,697093.0,3.0,0.102,880.42,0.0119,10233.0
,john57,Twitter,400038.0,7.0,0.0834,973.44,0.0318,7021.0
98.0,nicolegalloway,TikTok,346519.0,4.0,0.0834,596.41,0.04,49519.0
99.0,jjones,Twitter,171759.0,3.0,0.0834,946.08,,30491.0
100.0,smithedward,Twitter,,6.0,0.102,952.28,0.0409,26759.0
101.0,michellemcdaniel,TikTok,372070.0,3.0,0.102,62.71,0.0147,31131.0
102.0,erodriguez,Twitter,575006.0,5.0,0.0834,992.22,0.0373,36574.0
103.0,robinsonlindsey,Facebook,95233.0,5.0,0.0986,262.66,0.0102,8039.0
104.0,ubecker,Instagram,650881.0,6.0,0.0856,222.59,0.0128,17980.0
105.0,trobinson,Facebook,750736.0,1.0,0.0986,735.9,0.0354,46860.0
106.0,trobinson,Twitter,567322.0,2.0,0.0834,169.32,0.0415,2468.0
107.0,smithkristin,,650362.0,6.0,0.0834,253.21,,26080.0
108.0,ugrant,Twitter,215690.0,6.0,0.0986,338.05,0.0349,41263.0
109.0,michaelflores,Twitter,58821.0,6.0,0.0856,973.57,0.0416,2851.0
110.0,joandyer,TikTok,929931.0,2.0,0.102,993.19,0.0172,31368.0
111.0,elizabethelliott,LinkedIn,329853.0,4.0,0.0834,694.28,0.0188,22695.0
112.0,emily58,TikTok,178412.0,4.0,0.0642,715.11,0.035,37391.0
113.0,sthompson,Facebook,88284.0,2.0,0.0986,596.52,0.0298,2173.0
114.0,charleswilliams,Instagram,237336.0,3.0,0.0642,602.6,0.0105,19913.0
115.0,dmiller,TikTok,83982.0,7.0,0.0856,283.03,0.023,1515.0
116.0,fduffy,Facebook,758261.0,7.0,0.0856,189.36,,25804.0
117.0,sharris,TikTok,730810.0,4.0,0.0834,370.17,0.0159,7351.0
118.0,,Twitter,897241.0,1.0,0.0986,310.36,0.0471,
119.0,adunn,Instagram,354687.0,6.0,0.0834,926.97,0.0307,6325.0
120.0,,TikTok,163651.0,7.0,0.0986,252.29,0.0453,5736.0
121.0,reidkristine,TikTok,632857.0,6.0,0.102,780.56,0.0248,5060.0
122.0,kathleenmason,LinkedIn,959601.0,7.0,0.0986,958.39,0.0439,5226.0
123.0,gmeyer,Facebook,,5.0,0.0642,323.15,0.0171,46212.0
124.0,owensnatalie,TikTok,945242.0,6.0,0.0834,398.1,0.0282,17878.0
125.0,fmolina,Instagram,371274.0,7.0,0.0986,841.85,0.0137,43349.0
126.0,bberry,Twitter,197710.0,4.0,0.0856,485.02,0.0108,34466.0
127.0,chavezcourtney,Instagram,277076.0,7.0,0.0642,432.08,0.0456,21374.0
128.0,angelarose,Twitter,368934.0,1.0,0.0834,261.62,0.0483,39561.0
129.0,nblake,Facebook,775511.0,3.0,0.0986,473.57,0.0432,26720.0
130.0,gsharp,Facebook,33312.0,3.0,0.102,485.02,0.0186,18243.0
131.0,julianfisher,Instagram,772672.0,3.0,0.102,514.07,0.0479,28632.0
132.0,robinsonmark,Twitter,552070.0,6.0,0.0986,966.47,0.0354,23441.0
133.0,trobinson,Facebook,221476.0,5.0,0.0986,947.76,0.0281,4356.0
,hevans,Twitter,903942.0,5.0,0.0856,727.33,0.0193,40336.0
135.0,mckenzieadam,Instagram,933563.0,5.0,0.0834,630.21,0.0421,39088.0
136.0,aflores,Instagram,557762.0,3.0,0.0986,214.12,0.0178,17615.0
137.0,michaellopez,TikTok,204527.0,6.0,0.0856,452.19,0.0272,19725.0
138.0,bpham,,975273.0,6.0,0.102,649.02,0.0182,
139.0,jenniferwaller,TikTok,630147.0,5.0,0.102,797.64,0.0103,
140.0,hellis,LinkedIn,518385.0,6.0,0.0834,858.44,0.0401,48129.0
141.0,yrodriguez,TikTok,267011.0,5.0,0.0642,914.72,0.0245,24771.0
142.0,,LinkedIn,446069.0,1.0,0.0642,510.99,0.0255,26275.0
143.0,ybrock,Facebook,448733.0,5.0,0.0834,97.1,0.0466,12173.0
144.0,erikthomas,Twitter,407324.0,3.0,0.0986,,0.0444,42521.0
145.0,browndarryl,Twitter,951388.0,6.0,0.0642,696.43,0.0139,47990.0
146.0,ulandry,TikTok,494885.0,3.0,0.102,913.44,0.0205,49576.0
147.0,qcannon,,342158.0,5.0,0.0986,147.17,0.0251,2796.0
148.0,victoria86,Facebook,40250.0,5.0,0.102,327.81,0.0216,10315.0
149.0,claudiaferrell,Twitter,593696.0,3.0,0.0834,217.73,0.0493,25760.0
150.0,davistammy,TikTok,250584.0,3.0,0.102,133.64,0.0318,14548.0
151.0,tyler31,TikTok,426663.0,6.0,0.0856,274.72,0.0398,41345.0
152.0,,Instagram,379585.0,4.0,0.0986,236.48,0.0371,27535.0
153.0,nicole57,Instagram,729414.0,3.0,0.0986,877.89,0.0238,3796.0
154.0,gregory84,Facebook,17821.0,4.0,0.0986,789.28,0.0372,29734.0
155.0,ireyes,LinkedIn,416425.0,4.0,0.102,869.07,0.0145,34247.0
156.0,krystal64,Twitter,502866.0,7.0,0.0986,719.56,0.0105,34880.0
157.0,colemanbrooke,Twitter,298600.0,7.0,0.0856,,0.0427,2119.0
158.0,fwalker,Facebook,388576.0,6.0,0.0642,283.03,0.0392,10800.0
159.0,samanthajohnson,LinkedIn,516975.0,3.0,0.0642,432.65,0.0243,42117.0
160.0,caitlin54,Facebook,194157.0,5.0,0.0856,376.93,0.0186,4123.0
161.0,nolancorey,Facebook,470687.0,4.0,0.0834,536.5,0.0128,
162.0,john77,LinkedIn,81219.0,5.0,0.0986,262.66,0.0108,
163.0,rebekah51,LinkedIn,65092.0,7.0,0.102,876.46,0.0208,31598.0
164.0,thomassherri,Facebook,543409.0,3.0,0.0834,539.69,0.0166,6402.0
165.0,gutierreznicholas,TikTok,,7.0,0.0834,,0.0262,32118.0
166.0,tinajones,Instagram,73272.0,3.0,,452.91,0.0318,10241.0
167.0,ycole,Twitter,199621.0,7.0,0.0856,496.72,0.0262,26063.0
168.0,cooklinda,Twitter,770764.0,5.0,0.0642,840.87,0.0113,1920.0
169.0,carlosrivera,LinkedIn,502948.0,6.0,0.0856,405.98,0.0247,35690.0
170.0,graymelinda,Twitter,475258.0,7.0,0.0834,894.32,0.0443,38430.0
,deandawn,,557341.0,4.0,0.0642,683.21,0.0175,45928.0
172.0,hernandezvanessa,Twitter,544313.0,5.0,0.102,847.14,,42029.0
,xshort,Facebook,913122.0,3.0,0.0856,893.56,0.0429,31810.0
174.0,palmerjeffrey,TikTok,971217.0,5.0,0.0856,899.04,0.0287,42862.0
175.0,snicholson,Instagram,604800.0,5.0,0.0834,356.29,0.0283,22920.0
176.0,ashleyzuniga,Instagram,596094.0,6.0,0.0642,975.52,0.0288,3997.0
177.0,lisabarber,Instagram,572735.0,5.0,0.0856,677.17,0.0478,49947.0
178.0,danielharper,Instagram,624611.0,7.0,0.102,99.67,0.0186,33974.0
179.0,davisjose,Twitter,250150.0,3.0,0.0834,685.4,,43774.0
180.0,brittney04,LinkedIn,,1.0,0.102,103.1,0.0397,8240.0
181.0,fshaw,TikTok,345342.0,6.0,0.0834,298.05,0.0105,30988.0
182.0,hardyalexander,TikTok,213900.0,6.0,0.0834,748.78,0.0314,22660.0
183.0,adam63,LinkedIn,731406.0,3.0,0.0642,647.76,0.0286,33065.0
184.0,jay23,Instagram,5171.0,6.0,0.0834,548.59,0.0108,2979.0
185.0,flowerschristine,TikTok,107068.0,2.0,0.102,537.38,0.0489,
186.0,muellerolivia,TikTok,647379.0,6.0,0.0986,836.59,0.0409,10538.0
187.0,xroberts,Facebook,351443.0,6.0,0.0986,285.16,0.0181,37625.0
188.0,henrydominique,Facebook,45224.0,1.0,0.0856,539.69,0.0186,11396.0
189.0,bradleyfox,Instagram,,1.0,0.0856,224.07,0.0119,40384.0
190.0,grayrachel,Instagram,262058.0,1.0,0.0834,395.39,0.0354,25985.0
191.0,ujones,LinkedIn,785527.0,2.0,0.102,441.13,0.0389,23393.0
,bclark,TikTok,606644.0,2.0,0.0986,129.24,0.0238,8356.0
193.0,robertsanders,Twitter,71024.0,4.0,0.102,695.81,0.0218,41954.0
194.0,bprice,TikTok,940065.0,5.0,0.0834,742.16,0.048,31982.0
195.0,meghan87,TikTok,150329.0,1.0,0.0642,307.41,0.0167,14106.0
196.0,nponce,TikTok,402485.0,3.0,0.0856,802.17,0.0477,19892.0
197.0,montgomeryjaime,Twitter,764232.0,,0.0856,594.15,0.0363,45078.0
198.0,michael40,Twitter,754964.0,5.0,0.0642,985.34,0.0241,33615.0
199.0,medinanatalie,Facebook,543023.0,6.0,0.0986,710.67,0.0385,10045.0
200.0,daltonmichael,Instagram,693011.0,1.0,0.0986,195.91,0.023,43750.0
201.0,jennifer98,Facebook,145171.0,7.0,0.0856,521.96,0.0263,4284.0
202.0,plindsey,Instagram,815150.0,2.0,0.0834,693.78,0.046,14963.0
203.0,uclark,Instagram,734348.0,5.0,0.0986,335.78,0.0499,1088.0
204.0,anthonywilliams,Facebook,335067.0,6.0,0.0642,506.57,0.0105,40981.0
205.0,kristinemalone,Facebook,801977.0,1.0,0.0834,511.43,0.048,38011.0
206.0,kevin80,Instagram,,,0.0986,376.93,,33009.0
207.0,smithedward,TikTok,598481.0,4.0,0.0856,713.9,0.0416,2292.0
208.0,michelle11,Facebook,794085.0,1.0,0.0834,602.44,0.0166,7682.0
209.0,ybrock,Twitter,604322.0,3.0,0.0834,117.05,0.0278,28073.0
210.0,sophia02,Instagram,528324.0,3.0,0.0642,991.96,0.024,13915.0
,ggonzalez,TikTok,889267.0,2.0,0.0834,139.63,0.0494,7764.0
212.0,,TikTok,41077.0,5.0,0.102,797.64,,16563.0
213.0,lisa91,TikTok,430258.0,6.0,0.0856,808.23,0.0429,1796.0
,michellemcdaniel,TikTok,272060.0,5.0,0.0642,610.44,0.0114,2452.0
215.0,sbyrd,Twitter,10395.0,3.0,0.0834,926.97,0.0421,2146.0
216.0,lisa14,Instagram,854968.0,6.0,0.0642,340.68,0.0161,31251.0
217.0,belinda51,,653937.0,1.0,0.0856,804.4,,28682.0
218.0,davisjose,Instagram,436372.0,7.0,0.102,973.57,0.0487,
219.0,hawkinskelly,Facebook,304576.0,5.0,0.0834,951.65,0.0393,25744.0
220.0,ulandry,TikTok,742078.0,5.0,0.0642,690.0,0.0375,6064.0
221.0,elaine15,LinkedIn,576425.0,1.0,0.102,754.41,0.0237,35128.0
222.0,zjones,TikTok,546013.0,6.0,0.0986,915.43,0.0164,
,morgan06,Instagram,574401.0,3.0,0.102,206.84,0.0328,1132.0
,patrick36,LinkedIn,781153.0,6.0,0.0642,508.6,,24014.0
225.0,robert31,Facebook,484944.0,6.0,0.0834,822.81,0.0439,15148.0
226.0,nelsonalfred,LinkedIn,893363.0,3.0,0.0834,440.37,0.0272,9399.0
227.0,johnwilkinson,TikTok,,6.0,0.0834,669.64,0.0334,28327.0
228.0,smithtimothy,Twitter,529600.0,1.0,0.0834,969.09,0.0464,35100.0
229.0,michael16,Facebook,12415.0,5.0,0.0986,510.8,0.0293,26491.0
230.0,mariahbell,TikTok,4479.0,,0.0986,,0.0337,3132.0
231.0,tylermartin,Facebook,,5.0,0.0986,321.64,0.02,11524.0
232.0,rachelgutierrez,Facebook,829170.0,,0.102,614.04,0.0318,24964.0
233.0,,Twitter,517649.0,6.0,0.102,515.08,0.0344,45631.0
234.0,dixonjulie,Twitter,579652.0,3.0,0.0834,826.95,0.0192,17730.0
235.0,martinerica,TikTok,954296.0,6.0,0.102,,0.0474,11269.0
236.0,vmorales,LinkedIn,602486.0,2.0,,500.37,0.0329,5842.0
237.0,joshuabailey,Instagram,633296.0,4.0,0.102,225.29,0.0118,37236.0
,colestevens,LinkedIn,101171.0,3.0,0.0642,867.62,0.044,1343.0
239.0,lewisjessica,Instagram,854960.0,5.0,0.102,129.24,0.032,7634.0
240.0,vbrady,TikTok,487245.0,4.0,0.0856,279.32,0.0186,6922.0
,mcdonaldnancy,,929908.0,1.0,0.0986,233.02,0.0454,46752.0
242.0,thammond,Facebook,294197.0,1.0,0.102,817.67,0.0314,16620.0
243.0,jeffreysalazar,Facebook,766465.0,7.0,0.0642,787.03,0.0195,21446.0
244.0,boothjacob,Facebook,798236.0,5.0,0.0986,775.38,,5520.0
245.0,matthew17,,585264.0,4.0,0.0642,456.74,0.0136,24312.0
246.0,thomasortega,Twitter,808429.0,1.0,0.0856,98.2,0.0436,33137.0
247.0,hardyalexander,Instagram,991515.0,1.0,0.0856,370.12,0.0456,
248.0,michaelperez,Instagram,632264.0,1.0,0.102,386.33,0.0202,35359.0
249.0,turnerchristopher,LinkedIn,394352.0,5.0,0.102,938.02,0.0357,37401.0
250.0,revans,Instagram,845512.0,6.0,0.102,143.89,0.0186,19225.0
251.0,dgarza,Facebook,234445.0,4.0,0.0642,563.74,0.0452,37263.0
252.0,christianamy,LinkedIn,922723.0,6.0,0.0834,443.29,0.0423,43521.0
253.0,fowlermichael,Twitter,767918.0,4.0,0.0856,298.95,0.0119,21790.0
254.0,keithkeith,Twitter,241032.0,2.0,0.0986,335.78,0.0261,23711.0
255.0,jonathanherman,LinkedIn,124285.0,5.0,0.102,682.47,0.0221,28107.0
256.0,fduffy,LinkedIn,361244.0,,0.0834,361.46,0.0264,5927.0
257.0,hellis,TikTok,234063.0,4.0,0.0642,81.51,0.0497,2772.0
258.0,lesliepennington,Twitter,446644.0,,0.0986,435.65,0.0115,22658.0
259.0,julie05,Facebook,626811.0,,0.0642,99.67,0.0364,26699.0
260.0,kaitlynvalentine,Instagram,853558.0,5.0,0.0834,,0.0225,12896.0
261.0,alyssa15,TikTok,300547.0,1.0,0.0642,153.65,0.0123,20475.0
262.0,ellenmitchell,Facebook,627045.0,6.0,0.0642,122.95,0.0223,48059.0
263.0,simmonscarrie,Facebook,215970.0,1.0,,51.95,0.0128,9033.0
264.0,eriknelson,Instagram,796838.0,3.0,0.102,596.52,0.0365,48992.0
265.0,francessullivan,Instagram,108153.0,7.0,0.102,892.6,0.0245,44313.0
266.0,davidsmith,TikTok,723665.0,5.0,0.0856,228.19,0.0418,45663.0
267.0,danielanderson,TikTok,983458.0,5.0,0.0642,584.37,0.0284,29396.0
268.0,yrodriguez,Twitter,991970.0,4.0,0.0986,584.95,0.0143,32529.0
269.0,ireyes,Facebook,986829.0,1.0,0.0642,858.82,0.0439,37566.0
270.0,adamjohnson,Facebook,902245.0,7.0,0.0642,413.32,0.0274,12529.0
271.0,hamiltonjessica,Facebook,575689.0,5.0,0.0986,53.54,0.0193,40692.0
272.0,herbertallen,Twitter,749785.0,7.0,0.102,903.94,0.0117,17276.0
273.0,jbonilla,TikTok,320413.0,4.0,0.0834,400.61,0.0245,39316.0
274.0,stephen63,TikTok,950724.0,7.0,0.0856,556.13,0.0223,42990.0
275.0,ryan99,Twitter,81086.0,3.0,0.0834,367.56,0.024,18581.0
276.0,sharondillon,Twitter,99943.0,1.0,0.0986,375.55,0.011,4181.0
277.0,ntodd,LinkedIn,908448.0,3.0,0.0834,907.05,0.0342,36260.0
278.0,amberhanson,Instagram,538566.0,3.0,0.0986,385.8,0.0471,30895.0
279.0,jason52,,98929.0,2.0,0.0986,992.22,0.0161,7837.0
280.0,wmaxwell,Twitter,326440.0,3.0,0.0642,286.58,0.0275,13011.0
281.0,,Facebook,927638.0,5.0,0.0642,397.29,0.0364,29210.0
282.0,kristinemalone,LinkedIn,826398.0,1.0,0.102,214.78,0.0397,28754.0
283.0,aramos,Twitter,253351.0,1.0,0.0986,682.58,0.0227,39871.0
284.0,gtorres,Twitter,264193.0,2.0,0.0834,694.28,0.0276,31196.0
285.0,robertmorris,TikTok,702687.0,1.0,0.0856,276.36,0.05,2250.0
286.0,jade86,LinkedIn,786413.0,1.0,0.0986,643.4,0.0384,38738.0
287.0,vanessa81,Instagram,891869.0,3.0,0.0856,852.45,0.0381,10116.0
288.0,thomasortega,,,2.0,0.0856,924.61,0.0496,1889.0
289.0,claudiaferrell,Instagram,300664.0,2.0,0.0856,160.86,0.0379,14442.0
290.0,ntodd,Twitter,143737.0,1.0,0.0834,264.48,0.0306,1532.0
291.0,pbrooks,TikTok,167473.0,1.0,0.0834,982.66,0.0267,27859.0
292.0,johnsongregory,Twitter,,5.0,0.0642,182.75,0.0167,22882.0
293.0,ronnieperry,Twitter,526238.0,1.0,0.0986,969.88,0.0448,11029.0
294.0,jbonilla,Facebook,552286.0,5.0,0.0642,262.66,0.0114,33363.0
295.0,jefferygarcia,Instagram,517478.0,6.0,0.0986,429.01,0.0326,44139.0
296.0,gmcintosh,Twitter,667504.0,4.0,0.0986,,0.0163,5542.0
297.0,mcurtis,TikTok,,2.0,0.102,452.19,0.0175,6764.0
298.0,roger15,Instagram,544284.0,7.0,0.0834,986.41,0.0451,48280.0
299.0,tonyaevans,TikTok,968739.0,4.0,0.0834,105.12,0.0175,18437.0
300.0,sparker,Facebook,147468.0,4.0,0.0834,611.1,0.0163,11168.0
301.0,courtneysanchez,Facebook,256472.0,1.0,0.102,602.23,,41123.0
302.0,karen03,TikTok,705478.0,1.0,,640.55,0.0459,25935.0
303.0,mfreeman,Twitter,335351.0,5.0,0.0834,612.83,0.0116,1325.0
304.0,simmonscarrie,Twitter,479132.0,4.0,0.0986,928.25,0.0101,6847.0
,martinjoseph,LinkedIn,479578.0,2.0,0.0986,600.01,0.04,33066.0
306.0,tmcdaniel,Instagram,573087.0,5.0,0.102,287.9,0.0497,5342.0
307.0,smack,Twitter,898342.0,3.0,0.0834,110.12,0.0279,
,blackwellandrew,Twitter,768690.0,,0.0856,667.05,0.0341,19054.0
309.0,valdezjessica,Facebook,791365.0,2.0,0.0642,572.3,0.0466,40351.0
310.0,james82,TikTok,113083.0,7.0,,926.61,0.0109,24693.0
311.0,marcoporter,Twitter,27952.0,,0.102,238.51,0.0205,46128.0
312.0,sierrajohnson,LinkedIn,506427.0,6.0,0.0986,980.69,0.0192,15748.0
313.0,hawkinskelly,TikTok,,4.0,0.0986,82.92,0.0265,20731.0
314.0,jeremiah03,TikTok,32778.0,3.0,0.0986,840.87,0.0464,35820.0
315.0,chavezcourtney,LinkedIn,358254.0,1.0,0.0834,286.17,0.0413,45280.0
316.0,,Facebook,874277.0,2.0,0.102,421.56,0.0261,13450.0
317.0,laurendurham,Twitter,40397.0,7.0,0.102,275.71,,11665.0
318.0,john77,Instagram,127420.0,1.0,0.0642,182.75,0.0249,30411.0
319.0,wwatson,Twitter,4866.0,3.0,0.0856,800.44,0.0192,36776.0
320.0,andersonjuan,Facebook,504872.0,5.0,0.0986,755.58,0.0392,38483.0
321.0,lopezsusan,Twitter,289406.0,4.0,0.0856,337.84,0.0222,
322.0,vvega,Facebook,216240.0,7.0,0.0856,845.29,0.0344,7655.0
323.0,mccoykaren,Twitter,638159.0,2.0,0.0834,955.42,0.0393,47699.0
324.0,fduffy,LinkedIn,981789.0,1.0,0.0642,827.71,0.011,49544.0
325.0,hughesmatthew,Facebook,65882.0,4.0,0.0986,308.89,0.0261,
326.0,qthomas,TikTok,884469.0,3.0,0.0986,375.89,0.016,28928.0
327.0,ihernandez,TikTok,61731.0,3.0,0.0834,238.74,0.0343,18044.0
328.0,joshua92,Facebook,886561.0,5.0,0.0986,612.01,0.0226,3032.0
329.0,patriciamorse,TikTok,998321.0,1.0,0.102,741.79,0.0192,7658.0
330.0,jasonrichard,LinkedIn,439692.0,5.0,0.0834,276.88,0.0283,7636.0
331.0,paulprice,Twitter,642672.0,3.0,0.0834,742.39,0.0448,31131.0
332.0,smithdanielle,Instagram,376201.0,5.0,0.0986,352.46,0.0194,5906.0
333.0,olopez,Facebook,896570.0,6.0,0.0986,363.0,0.0293,
334.0,wsmith,Facebook,541831.0,1.0,0.102,253.21,0.0283,30504.0
335.0,simoncarolyn,Twitter,327158.0,4.0,0.0834,582.66,0.0459,5414.0
